date;libelle;montant
2026-04-15;SALAIRE ACME SA;2450.00
2026-04-14;NETFLIX.COM;-15.99
2026-04-14;CARREFOUR PARIS 11;-58.42
2026-04-13;UBER EATS;-24.90
2026-04-12;SPOTIFY;-9.99
2026-04-11;SNCF CONNECT;-72.00
2026-04-10;LOYER FONCIA;-890.00
2026-04-10;EDF PRELEVEMENT;-64.20
2026-04-09;AMAZON EU;-39.90
2026-04-08;PHARMACIE DE LA GARE;-12.30
2026-04-07;DELIVEROO;-18.50
2026-04-06;APPLE.COM/BILL ICLOUD;-2.99
2026-04-05;MONOPRIX;-34.10
2026-04-04;UGC CINE CITE;-11.90
2026-04-03;RATP NAVIGO;-84.10
2026-04-02;ADOBE CREATIVE CLOUD;-23.99
2026-04-01;VIREMENT RECU MARIE;120.00
2026-03-30;TOTAL ENERGIES STATION;-56.80
2026-03-29;FNAC PARIS;-29.99
2026-03-28;GITHUB INC;-4.00
